X	Y	T	NASA ERBE ALL clear-sky albedo
degree_east	degree_north	months since 1960-01-01	percent
    11.25000    	    71.25000    	    322.5000    	    33.00000    
    21.25000    	    71.25000    	    322.5000    	    54.50000    
    23.75000    	    71.25000    	    322.5000    	    57.10000    
    26.25000    	    71.25000    	    322.5000    	    52.60000    
    28.75000    	    71.25000    	    322.5000    	    45.60000    
    43.75000    	    71.25000    	    322.5000    	    28.00000    
    48.75000    	    71.25000    	    322.5000    	    26.80000    
    51.25000    	    71.25000    	    322.5000    	    31.90000    
    53.75000    	    71.25000    	    322.5000    	    31.80000    
    58.75000    	    71.25000    	    322.5000    	    31.40000    
    61.25000    	    71.25000    	    322.5000    	    26.40000    
    63.75000    	    71.25000    	    322.5000    	    32.30000    
    66.25000    	    71.25000    	    322.5000    	    31.80000    
    68.75000    	    71.25000    	    322.5000    	    72.20000    
    71.25000    	    71.25000    	    322.5000    	    73.30000    
    73.75000    	    71.25000    	    322.5000    	    68.90000    
    76.25000    	    71.25000    	    322.5000    	    70.40000    
    78.75000    	    71.25000    	    322.5000    	    69.10000    
    81.25000    	    71.25000    	    322.5000    	    73.00000    
    83.75000    	    71.25000    	    322.5000    	    73.00000    
    86.25000    	    71.25000    	    322.5000    	    73.90000    
    88.75000    	    71.25000    	    322.5000    	    68.90000    
    91.25000    	    71.25000    	    322.5000    	    73.00000    
    93.75000    	    71.25000    	    322.5000    	    73.70000    
    96.25000    	    71.25000    	    322.5000    	    74.90000    
    98.75000    	    71.25000    	    322.5000    	    57.90000    
    101.2500    	    71.25000    	    322.5000    	    57.00000    
    103.7500    	    71.25000    	    322.5000    	    52.50000    
    106.2500    	    71.25000    	    322.5000    	    64.90000    
    108.7500    	    71.25000    	    322.5000    	    75.90000    
    111.2500    	    71.25000    	    322.5000    	    47.90000    
    113.7500    	    71.25000    	    322.5000    	    50.30000    
    116.2500    	    71.25000    	    322.5000    	    53.20000    
    118.7500    	    71.25000    	    322.5000    	    58.50000    
    121.2500    	    71.25000    	    322.5000    	    57.30000    
    123.7500    	    71.25000    	    322.5000    	    53.60000    
    126.2500    	    71.25000    	    322.5000    	    69.30000    
    128.7500    	    71.25000    	    322.5000    	    65.40000    
    131.2500    	    71.25000    	    322.5000    	    65.40000    
    136.2500    	    71.25000    	    322.5000    	    60.40000    
    138.7500    	    71.25000    	    322.5000    	    62.00000    
    141.2500    	    71.25000    	    322.5000    	    61.00000    
    143.7500    	    71.25000    	    322.5000    	    64.10000    
    146.2500    	    71.25000    	    322.5000    	    73.90000    
    151.2500    	    71.25000    	    322.5000    	    65.80000    
    153.7500    	    71.25000    	    322.5000    	    55.50000    
    201.2500    	    71.25000    	    322.5000    	    57.60000    
    203.7500    	    71.25000    	    322.5000    	    63.00000    
    206.2500    	    71.25000    	    322.5000    	    42.00000    
    208.7500    	    71.25000    	    322.5000    	    48.20000    
    238.7500    	    71.25000    	    322.5000    	    57.50000    
    241.2500    	    71.25000    	    322.5000    	    63.60000    
    243.7500    	    71.25000    	    322.5000    	    68.50000    
    246.2500    	    71.25000    	    322.5000    	    72.00000    
    248.7500    	    71.25000    	    322.5000    	    75.20000    
    251.2500    	    71.25000    	    322.5000    	    70.90000    
    253.7500    	    71.25000    	    322.5000    	    71.20000    
    263.7500    	    71.25000    	    322.5000    	    71.10000    
    266.2500    	    71.25000    	    322.5000    	    65.50000    
    268.7500    	    71.25000    	    322.5000    	    64.60000    
    271.2500    	    71.25000    	    322.5000    	    63.90000    
    273.7500    	    71.25000    	    322.5000    	    70.50000    
    276.2500    	    71.25000    	    322.5000    	    65.50000    
    278.7500    	    71.25000    	    322.5000    	    67.10000    
    281.2500    	    71.25000    	    322.5000    	    63.70000    
    283.7500    	    71.25000    	    322.5000    	    55.80000    
    286.2500    	    71.25000    	    322.5000    	    70.90000    
    288.7500    	    71.25000    	    322.5000    	    64.10000    
    308.7500    	    71.25000    	    322.5000    	    57.90000    
    311.2500    	    71.25000    	    322.5000    	    78.90000    
    313.7500    	    71.25000    	    322.5000    	    80.90000    
    316.2500    	    71.25000    	    322.5000    	    81.50000    
    318.7500    	    71.25000    	    322.5000    	    78.90000    
    321.2500    	    71.25000    	    322.5000    	    84.30000    
    323.7500    	    71.25000    	    322.5000    	    80.80000    
    326.2500    	    71.25000    	    322.5000    	    80.80000    
    328.7500    	    71.25000    	    322.5000    	    80.40000    
    331.2500    	    71.25000    	    322.5000    	    70.30000    
    333.7500    	    71.25000    	    322.5000    	    62.20000    
    336.2500    	    71.25000    	    322.5000    	    40.80000    
    341.2500    	    71.25000    	    322.5000    	    32.30000    
    343.7500    	    71.25000    	    322.5000    	    24.00000    
    1.250000    	    68.75000    	    322.5000    	    32.80000    
    3.750000    	    68.75000    	    322.5000    	    27.60000    
    6.250000    	    68.75000    	    322.5000    	    25.00000    
    8.750000    	    68.75000    	    322.5000    	    18.60000    
    11.25000    	    68.75000    	    322.5000    	    15.10000    
    16.25000    	    68.75000    	    322.5000    	    61.90000    
    18.75000    	    68.75000    	    322.5000    	    62.40000    
    21.25000    	    68.75000    	    322.5000    	    63.90000    
    23.75000    	    68.75000    	    322.5000    	    56.20000    
    26.25000    	    68.75000    	    322.5000    	    59.20000    
    28.75000    	    68.75000    	    322.5000    	    59.50000    
    31.25000    	    68.75000    	    322.5000    	    56.70000    
    33.75000    	    68.75000    	    322.5000    	    50.30000    
    36.25000    	    68.75000    	    322.5000    	    50.60000    
    38.75000    	    68.75000    	    322.5000    	    48.60000    
    41.25000    	    68.75000    	    322.5000    	    28.20000    
    43.75000    	    68.75000    	    322.5000    	    31.10000    
    46.25000    	    68.75000    	    322.5000    	    31.50000    
    48.75000    	    68.75000    	    322.5000    	    27.40000    
    51.25000    	    68.75000    	    322.5000    	    23.50000    
