Biomename,Udvardy ,Perimeter,Provname,Biome,Realm,Realmprov,Udvardy,Area,Province,latitude,longitude
Tundra communities,169.0,0.233,Arctic Desert,09,2.0,225,1690.0,0.0,25,74.3828735351562,58.9918193817139
Warm deserts / semi-deserts,1149.0,0.1,Sonoran,07,1.0,108,788.0,0.0,08,9.47705698013306,-71.9913711547852
Mixed mountain systems,1953.0,0.001,Southern Andean,12,8.0,837,1582.0,0.0,37,-52.642505645752,-70.506290435791
Mixed island systems,857.0,0.139,Ryukyu Islands,13,2.0,241,962.0,0.001,41,27.0502815246582,128.41975402832
Evergreen Sclerophyllous forests,1734.0,0.212,Western Sclerophyll,06,6.0,604,1186.0,0.001,04,-24.9175062179565,113.129001617432
Tropical humid forests,1188.0,0.284,Guyanan,01,8.0,804,803.0,0.001,04,6.97353768348694,-58.4616718292236
Tropical dry forests / Woodlands,1056.0,0.156,Central American,04,8.0,816,770.0,0.001,16,13.2725477218628,-87.6400947570801
Mixed island systems,1060.0,0.161,Andaman and Nicobar Islands,13,4.0,420,883.0,0.001,20,12.9614071846008,92.9956321716309
Mixed island systems,1193.0,0.136,Micronesian,13,5.0,502,1026.0,0.001,02,6.91020631790161,134.155784606934
Tundra communities,632.0,0.189,Aleutian Islands,09,1.0,112,398.0,0.001,12,51.9734401702881,-175.900772094727
Mixed island systems,1186.0,0.137,Micronesian,13,5.0,502,1023.0,0.001,02,7.16311526298523,134.377029418945
Mixed island systems,1653.0,0.326,East Melanesian,13,5.0,507,1411.0,0.001,07,-16.7400093078613,177.537994384766
Mixed island systems,1654.0,0.161,Southeastern Polynesian,13,5.0,504,1985.0,0.001,04,-16.734751701355,-151.029556274414
Mixed island systems,1199.0,0.15,Borneo,13,4.0,425,922.0,0.001,25,5.83874893188477,118.20240020752
Warm deserts / semi-deserts,888.0,0.15,Thar Desert,07,4.0,415,842.0,0.001,15,24.7171564102173,67.1229286193848
Mixed island systems,1007.0,0.125,Micronesian,13,5.0,502,976.0,0.001,02,17.5866498947144,145.846488952637
Tropical humid forests,1200.0,0.153,Malayan Rainforest,01,4.0,407,924.0,0.001,07,5.77774095535278,103.022193908691
Evergreen Sclerophyllous forests,723.0,0.163,Mediterranean Sclerophyll,06,2.0,217,565.0,0.001,17,41.2392768859863,9.40728998184204
Mixed island systems,1077.0,0.139,Andaman and Nicobar Islands,13,4.0,420,887.0,0.001,20,12.2618494033813,92.9450340270996
Tundra communities,1981.0,0.179,Insulantarctica,09,7.0,704,1635.0,0.001,04,-54.4896583557129,-37.0718154907227
Mixed island systems,1657.0,0.151,East Melanesian,13,5.0,507,1411.0,0.001,07,-16.8133401870728,178.302207946777
Mixed island systems,1180.0,0.169,Micronesian,13,5.0,502,1020.0,0.001,02,7.34366488456726,134.4814453125
Tropical humid forests,1079.0,0.169,Indochinese Rainforest,01,4.0,405,888.0,0.001,05,12.2011690139771,109.297595977783
Mixed island systems,1578.0,0.171,Southeastern Polynesian,13,5.0,504,1049.0,0.001,04,-11.4286828041077,-151.79704284668
Mixed island systems,1205.0,0.189,Philippines,13,4.0,426,1029.0,0.001,26,5.43260884284973,125.480827331543
Mixed island systems,1083.0,0.193,Andaman and Nicobar Islands,13,4.0,420,890.0,0.001,20,12.100209236145,93.0497741699219
Mixed island systems,980.0,0.156,Revilla Gigedo Island,13,8.0,842,690.0,0.001,42,19.2996797561646,-110.812133789062
Tropical dry forests / Woodlands,1630.0,0.159,Northern Coastal,04,6.0,603,1350.0,0.001,03,-15.2605590820312,124.822494506836
Sub-tropical / Temperate rain forests / Woodlands,817.0,0.168,Japanese Evergreen Forest,02,2.0,202,1822.0,0.001,02,30.4587259292603,130.211647033691
Tropical humid forests,1719.0,0.179,Queensland Coastal,01,6.0,601,1418.0,0.001,01,-21.7505645751953,150.33024597168
Mixed island systems,1214.0,0.117,Southeastern Polynesian,13,5.0,504,666.0,0.001,04,4.70527291297913,-160.400093078613
Temperate broad-leaf forests,613.0,0.193,Kamchatkan,05,2.0,207,646.0,0.001,07,52.7224273681641,174.129539489746
Cold-winter deserts,870.0,0.134,Anatolian-Iranian Desert,08,2.0,220,831.0,0.001,20,26.1465635299683,50.4028053283691
Tropical dry forests / Woodlands,1086.0,0.243,Central American,04,8.0,816,776.0,0.001,16,11.9262595176697,-83.719051361084
Tropical dry forests / Woodlands,1622.0,0.159,Northern Coastal,04,6.0,603,1344.0,0.001,03,-14.8380551338196,129.601448059082
Mixed island systems,1432.0,0.178,Papuan,13,5.0,501,1240.0,0.001,01,-4.82264041900635,146.226196289062
Mixed island systems,1009.0,0.17,Lesser Antillean,13,8.0,841,757.0,0.001,41,17.4856491088867,-62.9692535400391
Tropical humid forests,1347.0,0.139,Congo Rain Forest,01,3.0,302,1129.0,0.001,02,-1.56232696771622,9.43329000473022
Tropical dry forests / Woodlands,944.0,0.148,Sinaloan,04,8.0,813,685.0,0.001,13,21.7674694061279,-106.666687011719
Mixed island systems,1176.0,0.16,Micronesian,13,5.0,502,1042.0,0.001,02,7.44268918037415,151.884620666504
Mixed island systems,822.0,0.165,Ryukyu Islands,13,2.0,241,1827.0,0.001,41,29.8476724624634,129.891090393066
Mixed island systems,1717.0,0.139,East Melanesian,13,5.0,507,1411.0,0.001,07,-21.6855602264404,174.605758666992
Mixed island systems,1618.0,0.188,Central Polynesian,13,5.0,505,1055.0,0.001,05,-14.3444118499756,-178.02409362793
Tropical humid forests,1715.0,0.16,Queensland Coastal,01,6.0,601,1416.0,0.001,01,-21.6637554168701,150.273002624512
Tropical dry forests / Woodlands,1586.0,0.229,Northern Coastal,04,6.0,603,1332.0,0.001,03,-11.7656950950623,136.568954467773
Mixed island systems,1426.0,0.159,Papuan,13,5.0,501,1238.0,0.001,01,-4.5376410484314,129.923355102539
Mixed island systems,1425.0,0.144,Seychelles and Amirantes Islands,13,4.0,416,1136.0,0.001,16,-4.48261570930481,55.2880229949951
Tropical dry forests / Woodlands,1589.0,0.18,Northern Coastal,04,6.0,603,1334.0,0.001,03,-12.0395851135254,134.949394226074
Mixed island systems,1419.0,0.25,Papuan,13,5.0,501,1233.0,0.001,01,-4.11196613311768,131.344200134277
Sub-tropical / Temperate rain forests / Woodlands,1939.0,0.147,Chilean Nothofagus,02,8.0,811,1570.0,0.001,11,-52.0604133605957,-74.376823425293
Cold-winter deserts,865.0,0.143,Anatolian-Iranian Desert,08,2.0,220,830.0,0.001,20,26.5634984970093,50.0576610565186
Mixed island systems,828.0,0.169,Macaronesian Islands,13,2.0,240,1832.0,0.001,40,29.2531318664551,-13.5142731666565
Warm deserts / semi-deserts,936.0,0.197,Thar Desert,07,4.0,415,850.0,0.001,15,21.9383172988892,72.2222023010254
Mixed island systems,1678.0,0.144,Central Polynesian,13,5.0,505,1064.0,0.001,05,-18.8040952682495,-174.648452758789
Mixed island systems,1415.0,0.15,Papuan,13,5.0,501,1230.0,0.001,01,-4.01945209503174,131.228546142578
Mixed island systems,1251.0,0.14,Sumatra,13,4.0,421,949.0,0.001,21,2.16652691364288,96.6223373413086
Tropical humid forests,1703.0,0.234,Queensland Coastal,01,6.0,601,1996.0,0.001,01,-20.4744501113892,149.071754455566
Sub-tropical / Temperate rain forests / Woodlands,791.0,0.154,Japanese Evergreen Forest,02,2.0,202,631.0,0.001,02,33.8586807250977,139.604156494141
Mixed island systems,1412.0,0.161,South Trinidade Island,13,8.0,846,1113.0,0.001,46,-3.85807931423187,-32.4302864074707
